"date","close","volume","open","high","low"
"2015/06/04","82.0500","20825910.0000","82.1400","82.9500","81.5100"
"2015/06/03","82.4400","31633300.0000","81.3500","82.5300","81.2500"
"2015/06/02","80.4450","18900690.0000","79.7600","81.3500","79.5600"
"2015/06/01","80.2900","18106110.0000","79.3000","80.3800","78.6600"
"2015/05/29","79.1900","16111570.0000","79.9500","80.0700","78.8800"
"2015/05/28","80.1450","11974610.0000","80.2500","81.0745","80.0000"
"2015/05/27","80.5500","14132160.0000","79.6000","80.6600","79.4300"
"2015/05/26","79.3350","16271510.0000","80.4300","80.6000","79.0800"
"2015/05/22","80.5400","19547070.0000","80.3500","81.3100","80.2500"
"2015/05/21","80.4800","13376150.0000","80.1900","80.9200","80.0800"
"2015/05/20","80.5500","23024330.0000","80.4700","81.1000","79.4600"
"2015/05/19","80.6300","17943450.0000","81.2500","81.6900","80.5500"
"2015/05/18","80.8800","21560230.0000","80.3300","81.3800","80.2300"
"2015/05/15","80.4200","27029540.0000","81.4100","81.5200","80.1800"
"2015/05/14","81.3700","49376110.0000","78.9400","81.8450","78.6700"
"2015/05/13","78.4400","21485710.0000","77.7200","78.5300","77.6500"
"2015/05/12","77.4600","21249920.0000","77.8700","77.8900","76.7900"
"2015/05/11","78.0100","18826100.0000","78.4800","79.0300","77.9300"
"2015/05/08","78.5100","19921440.0000","79.1000","79.2300","78.0300"
"2015/05/07","78.4250","19727740.0000","78.0000","78.9400","77.5600"
"2015/05/06","78.1000","28610160.0000","77.9700","78.8100","77.0500"
"2015/05/05","77.5600","22243130.0000","78.5500","78.8000","77.2200"
"2015/05/04","78.8100","14664320.0000","79.3300","79.6900","78.6301"
"2015/05/01","78.9900","22811310.0000","79.2400","79.7600","78.1100"
"2015/04/30","78.7700","28924470.0000","80.0100","80.9600","78.3200"
"2015/04/29","80.4650","26400340.0000","80.0100","81.3900","79.5200"
"2015/04/28","80.6800","23724520.0000","81.8300","81.9000","80.2300"
"2015/04/27","81.9100","25401050.0000","81.8700","82.9300","81.6300"
"2015/04/24","81.5300","29617390.0000","82.7700","82.9400","81.4800"
"2015/04/23","82.4100","73607220.0000","84.1000","85.5900","82.4100"
"2015/04/22","84.6300","43286780.0000","84.3200","84.7400","83.6500"
"2015/04/21","83.6200","26824310.0000","84.0000","84.4900","83.5400"
"2015/04/20","83.0900","28700450.0000","81.5400","83.1500","81.2400"
"2015/04/17","80.7750","24156000.0000","81.4800","82.1100","80.3700"
"2015/04/16","82.3100","13678800.0000","82.4700","83.0700","82.1500"
"2015/04/15","82.7050","22358670.0000","83.5500","83.6600","82.2700"
"2015/04/14","83.5150","19612620.0000","83.1700","83.6900","82.4400"
"2015/04/13","83.0100","26868830.0000","81.9300","83.9400","81.9200"
"2015/04/10","82.0400","12501090.0000","82.2100","82.6100","81.9100"
"2015/04/09","82.1700","15902970.0000","82.5000","82.8000","81.7100"
"2015/04/08","82.2750","18936170.0000","82.6300","83.1000","81.8400"
"2015/04/07","82.3200","17442950.0000","82.6500","83.4200","82.2200"
"2015/04/06","82.4400","19008980.0000","80.8000","82.8100","80.8000"
"2015/04/02","81.5550","19631440.0000","82.2500","82.5600","81.4400"
"2015/04/01","81.6650","22028080.0000","82.5000","82.7200","80.8700"
"2015/03/31","82.2150","19705200.0000","82.9000","83.5000","82.2100"
"2015/03/30","83.1950","24506180.0000","83.8100","84.3400","82.4100"
"2015/03/27","83.3000","18313110.0000","83.3800","83.9500","82.8800"
"2015/03/26","83.0100","32754510.0000","82.7200","83.7700","82.1400"
"2015/03/25","82.9200","37348640.0000","85.5000","85.5200","82.9200"
"2015/03/24","85.3100","32507390.0000","84.7100","86.0699","84.5200"
"2015/03/23","84.4300","27291310.0000","83.9200","84.9600","83.3000"
"2015/03/20","83.8000","44405260.0000","83.3900","84.6000","83.0700"
"2015/03/19","82.7500","42047570.0000","81.1200","83.0000","81.0000"
"2015/03/18","80.9100","36732660.0000","79.2500","81.2400","79.1700"
"2015/03/17","79.3650","22105760.0000","78.3600","79.7800","78.3400"
"2015/03/16","78.0700","19289450.0000","77.9600","78.1200","77.3600"
"2015/03/13","78.0500","18481750.0000","78.6000","79.3800","77.6800"
"2015/03/12","78.9300","16069270.0000","78.1000","79.0500","77.9100"
"2015/03/11","77.5700","20141490.0000","77.8000","78.4300","77.2600"
"2015/03/10","77.5500","22965310.0000","78.5000","79.2600","77.5500"
"2015/03/09","79.4400","18908230.0000","79.6800","79.9100","78.6300"
"2015/03/06","80.0050","24457940.0000","80.9000","81.3300","79.8300"
"2015/03/05","81.2100","27792840.0000","81.2300","81.9900","81.0500"
"2015/03/04","80.8950","28057010.0000","79.3000","81.1500","78.8500"
"2015/03/03","79.6000","18602170.0000","79.6100","79.7000","78.5200"
"2015/03/02","79.7500","21645890.0000","79.0000","79.8550","78.5200"
"2015/02/27","78.9700","30705140.0000","80.6800","81.2300","78.6200"
"2015/02/26","80.4100","30980750.0000","79.8800","81.3700","79.7200"
"2015/02/25","79.5600","25546020.0000","78.5000","80.2000","78.5000"
"2015/02/24","78.4500","18871220.0000","78.5000","79.4800","78.1000"
"2015/02/23","78.8400","24105020.0000","79.9600","80.1900","78.3800"
"2015/02/20","79.8950","36904680.0000","79.5500","80.3400","79.2000"
"2015/02/19","79.4200","45778750.0000","76.9860","79.8400","76.9500"
"2015/02/18","76.7100","22410540.0000","75.9400","76.9000","75.4500"
"2015/02/17","75.6000","25243920.0000","75.3000","76.9100","75.0800"
"2015/02/13","75.7400","18487260.0000","76.4600","76.4800","75.5000"
"2015/02/12","76.2300","17212100.0000","76.8600","76.8700","75.8900"
"2015/02/11","76.5100","20817690.0000","75.0900","76.7500","75.0300"
"2015/02/10","75.1900","15783750.0000","74.8500","75.3400","74.5000"
"2015/02/09","74.4400","16182700.0000","74.0500","74.8300","73.4500"
"2015/02/06","74.4700","21131450.0000","75.6800","75.7000","74.2500"
"2015/02/05","75.6150","15002820.0000","75.7100","75.9800","75.2100"
"2015/02/04","75.6300","20246640.0000","75.0900","76.3500","75.0100"
"2015/02/03","75.4000","26921640.0000","75.1900","75.5800","73.8600"
"2015/02/02","74.9900","41901530.0000","76.1100","76.1400","73.7500"
"2015/01/30","75.9100","42540890.0000","78.0000","78.1600","75.7500"
"2015/01/29","78.0000","60670160.0000","76.8500","78.0200","74.2100"
"2015/01/28","76.2400","51281680.0000","76.9000","77.6380","76.0000"
"2015/01/27","75.7800","19982990.0000","76.7100","76.8800","75.6300"
"2015/01/26","77.4950","19229120.0000","77.9800","78.4700","77.2900"
"2015/01/23","77.8300","16711610.0000","77.6500","78.1900","77.0400"
"2015/01/22","77.6500","19491720.0000","77.1700","77.7500","76.6800"
"2015/01/21","76.7400","25079200.0000","76.1600","77.3000","75.8500"
"2015/01/20","76.2400","22765930.0000","75.7200","76.3100","74.8200"
"2015/01/16","75.1800","21744680.0000","74.0400","75.3200","73.8400"
"2015/01/15","74.0500","34058150.0000","76.4000","76.5700","73.5400"
"2015/01/14","76.2800","25831690.0000","76.4200","77.2000","76.0291"
"2015/01/13","76.4500","25149270.0000","77.2300","78.0800","75.8500"
"2015/01/12","76.7200","19150390.0000","77.8400","78.0000","76.2100"
"2015/01/09","77.7400","21146060.0000","78.2000","78.6200","77.2000"
"2015/01/08","78.1750","23931830.0000","76.7400","78.2300","76.0800"
"2015/01/07","76.1500","22015250.0000","76.7600","77.3600","75.8200"
"2015/01/06","76.1500","27365180.0000","77.2300","77.5900","75.3650"
"2015/01/05","77.1900","26392340.0000","77.9800","79.2455","76.8600"
"2015/01/02","78.4500","18141830.0000","78.5800","78.9300","77.7000"
"2014/12/31","78.0200","20004710.0000","79.5400","79.8000","77.8600"
"2014/12/30","79.2200","14354170.0000","79.8500","80.5900","79.1000"
"2014/12/29","80.0200","14101570.0000","80.4900","80.9600","79.7100"
"2014/12/26","80.7750","10632810.0000","81.0200","81.2800","80.5100"
"2014/12/24","80.7700","7685481.0000","81.0300","81.4300","80.7500"
"2014/12/23","80.6100","19846990.0000","82.0200","82.1700","80.4000"
"2014/12/22","81.4500","31361040.0000","80.0800","81.8900","80.0000"
"2014/12/19","79.8800","43274930.0000","78.7500","80.0000","78.3300"
"2014/12/18","78.4000","34147520.0000","76.8900","78.4000","76.5100"
"2014/12/17","76.1100","29142380.0000","75.0100","76.4100","74.9000"
"2014/12/16","74.6900","31466710.0000","76.1900","77.3900","74.5900"
"2014/12/15","76.9900","29341660.0000","78.4600","78.5800","76.5600"
"2014/12/12","77.8300","28049760.0000","77.1600","78.8800","77.0200"
"2014/12/11","77.7300","33465080.0000","76.5200","78.5200","76.4800"
"2014/12/10","76.1800","32168400.0000","76.6500","77.5500","76.0700"
"2014/12/09","76.8400","25307530.0000","75.2000","76.9300","74.7800"
"2014/12/08","76.5200","25674150.0000","76.1800","77.2500","75.4000"
"2014/12/05","76.3600","24273070.0000","75.8000","76.7600","75.3600"
"2014/12/04","75.2400","14369110.0000","74.8300","75.5500","74.6600"
"2014/12/03","74.8800","15936750.0000","75.3800","75.7300","74.4000"
"2014/12/02","75.4600","16750770.0000","75.3300","75.9100","75.0400"
"2014/12/01","75.1000","31747970.0000","77.2600","77.3100","74.8000"
"2014/11/28","77.7000","15992040.0000","77.6700","78.2700","77.2300"
"2014/11/26","77.6200","32686400.0000","75.5300","77.7800","75.5100"
"2014/11/25","75.6300","32199750.0000","74.2100","75.7400","74.1300"
"2014/11/24","74.0100","22080500.0000","73.5400","74.3500","73.3500"
"2014/11/21","73.7500","23039660.0000","74.5000","74.5000","73.5000"
"2014/11/20","73.6000","19128520.0000","72.8000","73.9900","72.5100"
"2014/11/19","73.3300","25401630.0000","74.0100","74.5400","73.1100"
"2014/11/18","74.3400","20678330.0000","74.4500","74.8000","73.9000"
"2014/11/17","74.2400","28669580.0000","74.8800","75.6550","73.8800"
"2014/11/14","74.8800","19416910.0000","74.2700","74.9300","74.0400"
"2014/11/13","74.2500","26408940.0000","74.7400","75.2400","73.6400"
"2014/11/12","74.7200","26497580.0000","74.2800","75.1400","73.5400"
"2014/11/11","74.6100","18702040.0000","74.9500","74.9800","74.0300"
"2014/11/10","75.0000","21526460.0000","75.3600","75.4799","74.6100"
"2014/11/07","75.6000","20757430.0000","75.3900","75.8550","75.0200"
"2014/11/06","75.2600","21321380.0000","74.8900","75.6000","74.3100"
"2014/11/05","74.8300","35853620.0000","76.5100","76.8000","74.4200"
"2014/11/04","75.7600","39202820.0000","74.2300","75.7700","73.6500"
"2014/11/03","73.8800","40529830.0000","75.4700","75.5200","73.7000"
"2014/10/31","74.9900","44472280.0000","74.9300","75.7000","74.4500"
"2014/10/30","74.1100","83098240.0000","75.0500","75.3500","72.9000"
"2014/10/29","75.8600","105883000.0000","75.4500","76.8800","74.7800"
"2014/10/28","80.7700","61137040.0000","80.1800","81.1600","79.5700"
"2014/10/27","80.2800","29806870.0000","80.7400","80.8000","79.7600"
"2014/10/24","80.6700","32123520.0000","80.2000","80.8183","79.3200"
"2014/10/23","80.0400","34892410.0000","79.3800","80.6300","79.0100"
"2014/10/22","78.3700","41799140.0000","78.8150","79.8500","78.0100"
"2014/10/21","78.6900","32176370.0000","77.5600","78.7400","77.1500"
"2014/10/20","76.9500","34555900.0000","75.6000","77.0900","75.3800"
"2014/10/17","75.9500","76263220.0000","74.2300","76.0000","73.7500"
"2014/10/16","72.6300","53456880.0000","70.7900","73.3500","70.5800"
"2014/10/15","73.2100","61397390.0000","71.6900","73.8000","70.3200"
"2014/10/14","73.5900","50126990.0000","74.0000","74.1800","72.0500"
"2014/10/13","72.9900","43847640.0000","73.2300","74.7800","72.5200"
"2014/10/10","72.9100","52068580.0000","75.5900","76.5000","72.7600"
"2014/10/09","75.9100","32421030.0000","77.2800","77.7601","75.8500"
"2014/10/08","77.5200","32853310.0000","76.1800","77.7100","75.1000"
"2014/10/07","76.2900","25241360.0000","77.0500","77.9500","76.2400"
"2014/10/06","77.5550","25689890.0000","77.1900","77.8900","76.8500"
"2014/10/03","77.4400","23280910.0000","77.7600","78.0600","77.2600"
"2014/10/02","77.0800","36468900.0000","76.5700","77.4800","75.6400"
"2014/10/01","76.5500","55006570.0000","78.7800","78.8200","75.9000"
"2014/09/30","79.0400","35816980.0000","79.3500","79.7067","78.6000"
"2014/09/29","79.0000","33969370.0000","78.1200","79.1990","77.9100"
"2014/09/26","78.7900","28827060.0000","77.5900","78.8416","77.3300"
"2014/09/25","77.2200","37392870.0000","78.6000","78.9400","77.1300"
"2014/09/24","78.5350","30638360.0000","78.1000","78.6200","77.5100"
"2014/09/23","78.2900","36666690.0000","76.3300","78.6300","76.0400"
"2014/09/22","76.8000","31908240.0000","77.0000","77.5300","75.9500"
"2014/09/19","77.9100","76614560.0000","77.4000","78.3000","76.4400"
"2014/09/18","77.0000","22939820.0000","76.7700","77.3300","76.5200"
"2014/09/17","76.4300","28498200.0000","75.9600","77.2500","75.5700"
"2014/09/16","76.0800","37662500.0000","73.5200","76.2300","73.0700"
"2014/09/15","74.5800","49552660.0000","77.1500","77.2500","73.4300"
"2014/09/12","77.4800","26655670.0000","78.0200","78.3000","77.1000"
"2014/09/11","77.9200","32181110.0000","77.1300","78.3600","77.0500"
"2014/09/10","77.4300","29836020.0000","76.5200","77.9500","76.5100"
"2014/09/09","76.6700","28723090.0000","77.5900","78.1700","76.2000"
"2014/09/08","77.8900","28135810.0000","77.2600","78.1700","77.0100"
"2014/09/05","77.2600","29387630.0000","76.1000","77.3800","75.5980"
"2014/09/04","75.9500","26581940.0000","75.8900","76.9300","75.5300"
"2014/09/03","75.8300","32311920.0000","77.1400","77.4800","75.6000"
"2014/09/02","76.6800","34744550.0000","75.0100","76.7000","74.8200"
"2014/08/29","74.8200","26215560.0000","74.3000","74.8200","74.0100"
"2014/08/28","73.8550","21898440.0000","74.0000","74.4300","73.7300"
"2014/08/27","74.6300","36213130.0000","75.2700","75.4900","74.4600"
"2014/08/26","75.9601","23793170.0000","75.0000","75.9900","74.7300"
"2014/08/25","75.0200","19683350.0000","74.9400","75.2800","74.7900"
"2014/08/22","74.5700","20847650.0000","74.3400","74.7300","73.5700"
"2014/08/21","74.5700","20053690.0000","74.9200","75.1900","74.4149"
"2014/08/20","74.8100","22863680.0000","74.9700","75.1800","74.6200"
"2014/08/19","75.2900","26596500.0000","74.8100","75.5800","74.7700"
"2014/08/18","74.5900","23898550.0000","74.0000","74.7200","73.9600"
"2014/08/15","73.6300","38837920.0000","74.3200","74.6500","73.0000"
"2014/08/14","74.2960","22163750.0000","73.9700","74.3800","73.6900"
"2014/08/13","73.7700","29181990.0000","73.1200","74.2500","73.0500"
"2014/08/12","72.8300","27347900.0000","73.0900","73.3301","72.2200"
"2014/08/11","73.4400","24533690.0000","73.4600","73.9100","73.0600"
"2014/08/08","73.0600","27097750.0000","73.4000","73.4300","72.5600"
"2014/08/07","73.1700","38049750.0000","73.0000","74.0000","72.7000"
"2014/08/06","72.4700","30898990.0000","72.0200","73.7200","71.7900"
"2014/08/05","72.6900","34918620.0000","73.2000","73.5900","72.1800"
"2014/08/04","73.5100","30630370.0000","72.3600","73.8800","72.3600"
"2014/08/01","72.3600","43402770.0000","72.2200","73.2200","71.5500"
"2014/07/31","72.6500","43811380.0000","74.0000","74.1650","72.4400"
"2014/07/30","74.6770","36804070.0000","74.2100","75.1900","74.1300"
"2014/07/29","73.7100","41050770.0000","74.7200","74.9200","73.4229"
"2014/07/28","74.9200","41556090.0000","75.1700","75.5000","73.8500"
"2014/07/25","75.1900","45792800.0000","74.9900","75.6700","74.6620"
"2014/07/24","74.9800","123026900.0000","75.9600","76.7400","74.5100"
